buildingname,buildingaddress,buildingtype,buildingsize,greenmarkyearaward,greenmarkrating,greenmarkstatus,grossfloorarea,2018energyuseintensity,2019energyusintensity,voluntarydisclosure
NEXUS @ONE-NORTH,"3 FUSIONOPOLIS LINK, SINGAPORE 138543",Commercial Building,Large,2019,Platinum,Yes,"25,510",25,23,Y
BCA ACADEMY OF THE BUILT ENVIRONMENT,"200 BRADDELL ROAD, SINGAPORE 579700",Commercial Building,Large,2017,Platinum,Yes,"53,422",41,39,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,54,50,N
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,70,74,N
N/A,"51 GRANGE ROAD, SINGAPORE 249564",Commercial Building,Large,2017,Certified,Yes,"20,916",73,74,Y
JURONG TOWN HALL,"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",Commercial Building,Large,2017,Platinum,Yes,"26,248",77,77,Y
GREAT EASTERN @ CHANGI,"200 CHANGI ROAD, SINGAPORE 419734",Commercial Building,Large,N/A,N/A,No,"24,707",103,77,Y
MITSUBISHI ELECTRIC BUILDING,"307 ALEXANDRA ROAD, SINGAPORE 159943",Commercial Building,Large,2014,Platinum,Yes,"16,654",95,80,Y
N/A,"1 DEFU AVENUE 1, SINGAPORE 539540",Commercial Building,Large,N/A,N/A,No,"19,516",84,82,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,95,89,N
PLUS,"20 CECIL STREET, SINGAPORE 049705",Commercial Building,Large,N/A,N/A,No,"32,383",66,89,Y
N/A,"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",Commercial Building,Large,2019,Platinum,Yes,"137,488",120,90,Y
SCDF JALAN BAHAR CAMP,"91 JALAN BAHAR, SINGAPORE 649735",Commercial Building,Large,N/A,N/A,No,"34,622",88,91,Y
EIGHTRIUM @ CHANGI BUSINESS PARK,"15A CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486035",Commercial Building,Large,N/A,N/A,No,"19,876",116,92,Y
N/A,"18 NAPIER ROAD, SINGAPORE 258510",Commercial Building,Large,2014,Platinum,Yes,"15,211",99,93,Y
ICON@IBP,"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",Commercial Building,Large,2009,GoldPlus,Yes,"41,135",102,96,Y
N/A,"1 KAY SIANG ROAD, SINGAPORE 248922",Commercial Building,Large,N/A,N/A,No,"15,091",98,98,Y
AKZONOBEL HOUSE,"3 CHANGI BUSINESS PARK VISTA, SINGAPORE 486051",Commercial Building,Large,2019,Gold,Yes,"19,225",102,98,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,124,110,N
TOWER FIFTEEN,"15 HOE CHIANG ROAD, SINGAPORE 089316",Commercial Building,Large,N/A,N/A,No,"23,546",144,111,Y
HIGH STREET CENTRE,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Commercial Building,Large,2018,Platinum,Yes,"43,000",165,111,Y
N/A,"31 INTERNATIONAL BUSINESS PARK, SINGAPORE 609921",Commercial Building,Large,N/A,N/A,No,"61,720",118,112,Y
GERMAN CENTRE,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Commercial Building,Large,2015,Platinum,Yes,"28,421",111,113,Y
TONG ENG BUILDING,"101 CECIL STREET, SINGAPORE 069533",Commercial Building,Large,2013,Platinum,Yes,"22,930",113,114,Y
KEPPEL TOWERS,"10 HOE CHIANG ROAD, SINGAPORE 089315",Commercial Building,Large,N/A,N/A,No,"58,609",156,114,Y
