Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,650,000","1,485.43","2,457",Apr-26,Strata,138,"26,449",999 yrs lease commencing from 1829,06,11 to 15
N.A.,DEVONSHIRE ROAD,Office,"6,600,000","1,100.08","6,000",Apr-26,Land,102.2,"64,579",Freehold,09,-
THE MEZZO,BALESTIER ROAD,Office,"1,120,560",667.37,"1,679",Apr-26,Strata,62,"18,074",Freehold,12,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,422,000","1,711.48","1,415",Apr-26,Strata,159,"15,233",99 yrs lease commencing from 1980,07,16 to 20
PEK CHUAN BUILDING,LAVENDER STREET,Office,"1,430,000","1,313.21","1,089",Apr-26,Strata,122,"11,721",99 yrs lease commencing from 1978,12,01 to 05
THE PLAZA,BEACH ROAD,Office,"1,050,000",721.19,"1,456",Apr-26,Strata,67,"15,672",99 yrs lease commencing from 1968,07,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,908,000",624.31,"3,056",Apr-26,Strata,58,"32,897",99 yrs lease commencing from 2001,01,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,219,086",559.73,"2,178",Apr-26,Strata,52,"23,444",99 yrs lease commencing from 2014,25,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,920,000",398.27,"4,821",Mar-26,Strata,37,"51,892",999 yrs lease commencing from 1829,06,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"945,000",322.92,"2,926",Mar-26,Strata,30,"31,500",999 yrs lease commencing from 1827,06,01 to 05
BOON SING BUILDING,MIDDLE ROAD,Office,"2,480,000","1,119.46","2,215",Mar-26,Strata,104,"23,846",999 yrs lease commencing from 1835,07,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,320,000","1,625.36","1,427",Mar-26,Strata,151,"15,364",99 yrs lease commencing from 1980,07,16 to 20
VISION EXCHANGE,VENTURE DRIVE,Office,"2,750,000","1,442.38","1,907",Mar-26,Strata,134,"20,522",99 yrs lease commencing from 2013,22,06 to 10
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"15,190,400","4,746.92","3,200",Mar-26,Strata,441,"34,445",99 yrs lease commencing from 1989,01,21 to 25
ARC 380,JALAN BESAR,Office,"5,250,000","1,733","3,029",Mar-26,Strata,161,"32,609",Freehold,08,11 to 15
