month,town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,num_transactions,min_price,max_price,avg_price,total_price
2004-05,SEMBAWANG,5 ROOM,353A,ADMIRALTY DR,113,Improved,2002,33,244000,536000,338421,11167888
2005-01,SEMBAWANG,5 ROOM,353B,ADMIRALTY DR,110,Improved,2002,42,228500,510000,344114,14452800
2005-04,SEMBAWANG,5 ROOM,353C,ADMIRALTY DR,110,Improved,2002,30,251000,498000,358500,10755000
2005-09,SEMBAWANG,4 ROOM,354A,ADMIRALTY DR,93,Model A,2002,33,225000,512000,340242,11228000
2005-04,SEMBAWANG,5 ROOM,354B,ADMIRALTY DR,110,Improved,2001,36,228000,500000,341658,12299676
2005-05,SEMBAWANG,5 ROOM,354C,ADMIRALTY DR,113,Improved,2001,24,232000,461000,313625,7527000
2005-11,SEMBAWANG,EXECUTIVE,354D,ADMIRALTY DR,126,Apartment,2002,19,337000,553000,433053,8228000
2004-10,SEMBAWANG,4 ROOM,356A,ADMIRALTY DR,94,Premium Apartment,2001,38,221000,448000,310429,11796300
2004-08,SEMBAWANG,4 ROOM,356B,ADMIRALTY DR,95,Premium Apartment,2001,33,220000,500000,341618,11273400
2004-07,SEMBAWANG,4 ROOM,356C,ADMIRALTY DR,95,Premium Apartment,2001,41,198000,550000,323832,13277100
2004-12,SEMBAWANG,4 ROOM,357,ADMIRALTY DR,96,Premium Apartment,2001,36,223000,470000,303807,10937050
2004-02,SEMBAWANG,5 ROOM,357A,ADMIRALTY DR,110,Premium Apartment,2001,40,207750,535000,333053,13322138
2004-11,SEMBAWANG,4 ROOM,357B,ADMIRALTY DR,95,Premium Apartment,2001,36,223000,493000,328088,11811168
2004-12,SEMBAWANG,4 ROOM,357C,ADMIRALTY DR,95,Premium Apartment,2001,32,200000,445000,298375,9548000
2005-02,SEMBAWANG,4 ROOM,359,ADMIRALTY DR,94,Premium Apartment,2001,34,227000,500000,321467,10929888
2005-01,SEMBAWANG,4 ROOM,359A,ADMIRALTY DR,95,Premium Apartment,2001,33,228000,464000,317221,10468300
2005-03,SEMBAWANG,5 ROOM,359B,ADMIRALTY DR,111,Premium Apartment,2001,32,225000,498000,316525,10128800
2005-03,SEMBAWANG,4 ROOM,359C,ADMIRALTY DR,95,Premium Apartment,2001,29,208880,454000,327354,9493268
2004-12,SEMBAWANG,4 ROOM,360A,ADMIRALTY DR,94,Premium Apartment,2001,32,222000,486050,307154,9828938
2004-05,SEMBAWANG,4 ROOM,360B,ADMIRALTY DR,95,Premium Apartment,2001,40,218000,535000,312072,12482888
2004-06,SEMBAWANG,4 ROOM,360C,ADMIRALTY DR,95,Premium Apartment,2001,41,215000,437000,308009,12628388
2004-03,SEMBAWANG,4 ROOM,467,ADMIRALTY DR,102,Premium Apartment,2001,68,214188,507000,319079,21697352
2005-03,SEMBAWANG,4 ROOM,467A,ADMIRALTY DR,102,Premium Apartment,2001,62,220000,505000,313616,19444200
2005-02,SEMBAWANG,4 ROOM,467B,ADMIRALTY DR,102,Premium Apartment,2001,56,218000,490000,308386,17269600
2005-02,SEMBAWANG,EXECUTIVE,468A,ADMIRALTY DR,137,Premium Apartment,2001,36,250000,495000,368306,13259000
2005-09,SEMBAWANG,EXECUTIVE,468B,ADMIRALTY DR,137,Premium Apartment,2001,30,252000,518000,355500,10665000
