month,town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,num_transactions,min_price,max_price,avg_price,total_price
2012-04,SEMBAWANG,5 ROOM,353A,ADMIRALTY DR,110,Improved,2002,6,428000,505000,458667,2752000
2012-08,SEMBAWANG,5 ROOM,353B,ADMIRALTY DR,110,Improved,2002,5,496000,580000,542858,2714288
2012-10,SEMBAWANG,5 ROOM,353C,ADMIRALTY DR,111,Improved,2002,5,475000,576000,523800,2619000
2012-12,SEMBAWANG,4 ROOM,354A,ADMIRALTY DR,93,Model A,2002,7,415000,529000,489643,3427500
2012-04,SEMBAWANG,5 ROOM,354B,ADMIRALTY DR,110,Improved,2001,6,400888,535000,476315,2857888
2012-09,SEMBAWANG,5 ROOM,354C,ADMIRALTY DR,110,Improved,2001,7,425000,525000,472571,3308000
2012-03,SEMBAWANG,EXECUTIVE,354D,ADMIRALTY DR,125,Apartment,2002,9,500000,580000,549111,4942000
2012-06,SEMBAWANG,5 ROOM,356A,ADMIRALTY DR,111,Premium Apartment,2001,6,425000,485888,456815,2740888
2012-03,SEMBAWANG,5 ROOM,356B,ADMIRALTY DR,110,Premium Apartment,2001,7,380000,534800,460527,3223688
2012-04,SEMBAWANG,4 ROOM,356C,ADMIRALTY DR,95,Premium Apartment,2001,13,410000,592000,496923,6460000
2012-06,SEMBAWANG,EXECUTIVE,357,ADMIRALTY DR,133,Premium Apartment,2001,9,390000,547000,492889,4436000
2012-08,SEMBAWANG,EXECUTIVE,357A,ADMIRALTY DR,131,Premium Apartment,2001,10,418000,588000,499669,4996688
2013-01,SEMBAWANG,EXECUTIVE,357B,ADMIRALTY DR,131,Premium Apartment,2001,11,410000,595000,509318,5602500
2012-03,SEMBAWANG,5 ROOM,357C,ADMIRALTY DR,110,Premium Apartment,2001,12,419000,576000,490250,5883000
2012-03,SEMBAWANG,4 ROOM,359,ADMIRALTY DR,94,Premium Apartment,2001,7,418000,491388,454127,3178888
2012-04,SEMBAWANG,5 ROOM,359A,ADMIRALTY DR,110,Premium Apartment,2001,7,415000,570000,493857,3457000
2012-03,SEMBAWANG,5 ROOM,359B,ADMIRALTY DR,111,Premium Apartment,2001,12,400000,585000,498824,5985888
2012-03,SEMBAWANG,5 ROOM,359C,ADMIRALTY DR,111,Premium Apartment,2001,10,365000,585000,505489,5054888
2012-09,SEMBAWANG,4 ROOM,360A,ADMIRALTY DR,95,Premium Apartment,2001,6,411888,470000,440815,2644888
2012-11,SEMBAWANG,5 ROOM,360B,ADMIRALTY DR,110,Premium Apartment,2001,3,480000,586000,535333,1606000
2012-04,SEMBAWANG,5 ROOM,360C,ADMIRALTY DR,111,Premium Apartment,2001,10,434000,578000,495800,4958000
2012-05,SEMBAWANG,4 ROOM,467,ADMIRALTY DR,102,Premium Apartment,2001,11,365000,562000,461626,5077888
2012-06,SEMBAWANG,5 ROOM,467A,ADMIRALTY DR,118,Premium Apartment,2001,8,395000,550000,476750,3814000
2012-03,SEMBAWANG,5 ROOM,467B,ADMIRALTY DR,118,Premium Apartment,2001,10,405000,580000,459289,4592888
2012-03,SEMBAWANG,EXECUTIVE,468A,ADMIRALTY DR,137,Premium Apartment,2001,8,483000,585000,539875,4319000
2012-06,SEMBAWANG,EXECUTIVE,468B,ADMIRALTY DR,137,Premium Apartment,2001,7,488000,588000,523214,3662500
2012-04,SEMBAWANG,5 ROOM,468C,ADMIRALTY DR,123,Premium Apartment,2001,4,425000,550000,487250,1949000
2012-03,SEMBAWANG,EXECUTIVE,468D,ADMIRALTY DR,142,Premium Apartment,2001,8,445000,555000,514736,4117888
2012-11,SEMBAWANG,4 ROOM,469,ADMIRALTY DR,102,Premium Apartment,2001,7,425000,528000,476714,3337000
2012-05,SEMBAWANG,4 ROOM,469A,ADMIRALTY DR,102,Premium Apartment,2001,14,390000,576000,471786,6605000
2012-05,SEMBAWANG,4 ROOM,469B,ADMIRALTY DR,102,Premium Apartment,2001,9,410000,542000,460222,4142000
2012-04,SEMBAWANG,5 ROOM,401,ADMIRALTY LINK,110,Improved,2001,4,380000,460000,416250,1665000
2012-05,SEMBAWANG,5 ROOM,402,ADMIRALTY LINK,110,Improved,2001,8,380000,460000,429850,3438800
2012-03,SEMBAWANG,4 ROOM,403,ADMIRALTY LINK,90,Model A,2001,7,352000,460000,417429,2922000
2012-05,SEMBAWANG,4 ROOM,404,ADMIRALTY LINK,91,Model A,2001,13,386000,501000,415991,5407888
2012-03,SEMBAWANG,4 ROOM,405,ADMIRALTY LINK,86,Model A2,2001,16,360000,421000,388824,6221188
2012-08,SEMBAWANG,4 ROOM,482,ADMIRALTY LINK,86,Model A2,2004,13,350000,425000,384308,4996000
2012-04,SEMBAWANG,5 ROOM,483,ADMIRALTY LINK,111,Improved,2004,9,332000,473000,439778,3958000
2012-05,SEMBAWANG,5 ROOM,484,ADMIRALTY LINK,110,Improved,2003,13,348000,480000,427615,5559000
2012-04,SEMBAWANG,4 ROOM,485,ADMIRALTY LINK,86,Model A2,2003,16,330000,403000,371375,5942000
2012-06,SEMBAWANG,4 ROOM,486,ADMIRALTY LINK,90,Model A,2004,15,360000,470000,439867,6598000
2014-08,SEMBAWANG,4 ROOM,487,ADMIRALTY LINK,94,Model A,2010,12,383000,413000,398815,4785776
2014-06,SEMBAWANG,4 ROOM,488,ADMIRALTY LINK,96,Model A,2010,8,370000,425000,401475,3211800
2014-07,SEMBAWANG,4 ROOM,489,ADMIRALTY LINK,94,Model A,2010,6,350000,410000,391667,2350000
2014-07,SEMBAWANG,4 ROOM,490,ADMIRALTY LINK,94,Model A,2010,7,350000,410000,383286,2683000
2012-09,SEMBAWANG,5 ROOM,491,ADMIRALTY LINK,110,Improved,2004,9,400000,498000,453667,4083000
2012-04,SEMBAWANG,5 ROOM,492,ADMIRALTY LINK,110,Improved,2004,8,408000,468000,437000,3496000
2012-04,SEMBAWANG,5 ROOM,493,ADMIRALTY LINK,110,Improved,2004,10,380000,517000,456200,4562000
2012-07,KALLANG/WHAMPOA,5 ROOM,101,AH HOOD RD,118,Improved,1981,3,618000,700000,647667,1943000
2012-04,KALLANG/WHAMPOA,5 ROOM,103,AH HOOD RD,118,Improved,1981,1,620000,620000,620000,620000
2012-03,GEYLANG,3 ROOM,101,ALJUNIED CRES,67,New Generation,1978,15,341000,502000,398067,5971000
2012-03,GEYLANG,3 ROOM,102,ALJUNIED CRES,67,New Generation,1978,10,338000,668000,398000,3980000
2012-06,GEYLANG,4 ROOM,104,ALJUNIED CRES,92,New Generation,1978,2,464000,495000,479500,959000
2012-07,GEYLANG,4 ROOM,105,ALJUNIED CRES,99,New Generation,1979,4,510000,667000,608750,2435000
2012-08,GEYLANG,3 ROOM,106,ALJUNIED CRES,67,New Generation,1979,4,325000,405000,363750,1455000
2012-08,GEYLANG,4 ROOM,107,ALJUNIED CRES,91,New Generation,1981,5,485000,525000,509000,2545000
2012-04,GEYLANG,3 ROOM,108,ALJUNIED CRES,68,New Generation,1981,5,360000,388000,377178,1885888
2012-06,GEYLANG,3 ROOM,109,ALJUNIED CRES,60,Improved,1986,9,280000,385000,334210,3007888
2012-07,GEYLANG,5 ROOM,110,ALJUNIED CRES,121,Improved,1980,4,510000,680000,615000,2460000
2013-03,GEYLANG,4 ROOM,111,ALJUNIED CRES,92,New Generation,1978,5,355000,500000,386200,1931000
2012-08,GEYLANG,3 ROOM,112,ALJUNIED CRES,67,New Generation,1980,7,325000,393000,359143,2514000
2012-04,GEYLANG,3 ROOM,95,ALJUNIED CRES,65,Improved,1975,14,313000,363000,340857,4772000
2012-07,GEYLANG,2 ROOM,96,ALJUNIED CRES,45,Improved,1979,4,255000,268000,262000,1048000
2012-04,GEYLANG,3 ROOM,97,ALJUNIED CRES,65,Improved,1975,6,338000,375000,357667,2146000
